Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires (2010-)","204","Bénin","664","Disponibilité alimentaire (Kcal/personne/jour)","S2901","Total General","2010","2010","Kcal/personne/jour","2672","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","204","Bénin","664","Disponibilité alimentaire (Kcal/personne/jour)","S2901","Total General","2020","2020","Kcal/personne/jour","2848","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","204","Bénin","664","Disponibilité alimentaire (Kcal/personne/jour)","S2903","Produits Vegetaux","2010","2010","Kcal/personne/jour","2532","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","204","Bénin","664","Disponibilité alimentaire (Kcal/personne/jour)","S2903","Produits Vegetaux","2020","2020","Kcal/personne/jour","2736","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","204","Bénin","664","Disponibilité alimentaire (Kcal/personne/jour)","S2941","Produits Animaux","2010","2010","Kcal/personne/jour","140","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","204","Bénin","664","Disponibilité alimentaire (Kcal/personne/jour)","S2941","Produits Animaux","2020","2020","Kcal/personne/jour","112","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","204","Bénin","664","Disponibilité alimentaire (Kcal/personne/jour)","S2905","Cèrèales - Excl Bière","2010","2010","Kcal/personne/jour","1040","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","204","Bénin","664","Disponibilité alimentaire (Kcal/personne/jour)","S2905","Cèrèales - Excl Bière","2020","2020","Kcal/personne/jour","1092","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","204","Bénin","664","Disponibilité alimentaire (Kcal/personne/jour)","S2907","Racines Amyl","2010","2010","Kcal/personne/jour","780","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","204","Bénin","664","Disponibilité alimentaire (Kcal/personne/jour)","S2907","Racines Amyl","2020","2020","Kcal/personne/jour","772","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","204","Bénin","664","Disponibilité alimentaire (Kcal/personne/jour)","S2909","Sucre & Edulcorants","2010","2010","Kcal/personne/jour","63","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","204","Bénin","664","Disponibilité alimentaire (Kcal/personne/jour)","S2909","Sucre & Edulcorants","2020","2020","Kcal/personne/jour","106","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","204","Bénin","664","Disponibilité alimentaire (Kcal/personne/jour)","S2911","Légumineuses Sèches","2010","2010","Kcal/personne/jour","88","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","204","Bénin","664","Disponibilité alimentaire (Kcal/personne/jour)","S2911","Légumineuses Sèches","2020","2020","Kcal/personne/jour","94","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","204","Bénin","664","Disponibilité alimentaire (Kcal/personne/jour)","S2912","Fruit Coque","2010","2010","Kcal/personne/jour","39","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","204","Bénin","664","Disponibilité alimentaire (Kcal/personne/jour)","S2912","Fruit Coque","2020","2020","Kcal/personne/jour","15","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","204","Bénin","664","Disponibilité alimentaire (Kcal/personne/jour)","S2913","Cultures Oleágineuses","2010","2010","Kcal/personne/jour","121","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","204","Bénin","664","Disponibilité alimentaire (Kcal/personne/jour)","S2913","Cultures Oleágineuses","2020","2020","Kcal/personne/jour","80","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","204","Bénin","664","Disponibilité alimentaire (Kcal/personne/jour)","S2914","Huiles végétales","2010","2010","Kcal/personne/jour","158","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","204","Bénin","664","Disponibilité alimentaire (Kcal/personne/jour)","S2914","Huiles végétales","2020","2020","Kcal/personne/jour","322","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","204","Bénin","664","Disponibilité alimentaire (Kcal/personne/jour)","S2918","Légumes","2010","2010","Kcal/personne/jour","24","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","204","Bénin","664","Disponibilité alimentaire (Kcal/personne/jour)","S2918","Légumes","2020","2020","Kcal/personne/jour","41","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","204","Bénin","664","Disponibilité alimentaire (Kcal/personne/jour)","S2919","Fruits - Excl Vin","2010","2010","Kcal/personne/jour","47","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","204","Bénin","664","Disponibilité alimentaire (Kcal/personne/jour)","S2919","Fruits - Excl Vin","2020","2020","Kcal/personne/jour","45","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","204","Bénin","664","Disponibilité alimentaire (Kcal/personne/jour)","S2922","Stimulants","2010","2010","Kcal/personne/jour","2","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","204","Bénin","664","Disponibilité alimentaire (Kcal/personne/jour)","S2922","Stimulants","2020","2020","Kcal/personne/jour","1","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","204","Bénin","664","Disponibilité alimentaire (Kcal/personne/jour)","S2923","Épices","2010","2010","Kcal/personne/jour","52","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","204","Bénin","664","Disponibilité alimentaire (Kcal/personne/jour)","S2923","Épices","2020","2020","Kcal/personne/jour","73","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","204","Bénin","664","Disponibilité alimentaire (Kcal/personne/jour)","S2924","Boissons Alcooliques","2010","2010","Kcal/personne/jour","115","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","204","Bénin","664","Disponibilité alimentaire (Kcal/personne/jour)","S2924","Boissons Alcooliques","2020","2020","Kcal/personne/jour","93","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","204","Bénin","664","Disponibilité alimentaire (Kcal/personne/jour)","S2943","Viande","2010","2010","Kcal/personne/jour","75","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","204","Bénin","664","Disponibilité alimentaire (Kcal/personne/jour)","S2943","Viande","2020","2020","Kcal/personne/jour","53","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","204","Bénin","664","Disponibilité alimentaire (Kcal/personne/jour)","S2945","Abats","2010","2010","Kcal/personne/jour","3","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","204","Bénin","664","Disponibilité alimentaire (Kcal/personne/jour)","S2945","Abats","2020","2020","Kcal/personne/jour","3","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","204","Bénin","664","Disponibilité alimentaire (Kcal/personne/jour)","S2946","Graisses animales","2010","2010","Kcal/personne/jour","5","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","204","Bénin","664","Disponibilité alimentaire (Kcal/personne/jour)","S2946","Graisses animales","2020","2020","Kcal/personne/jour","5","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","204","Bénin","664","Disponibilité alimentaire (Kcal/personne/jour)","S2949","Oeufs","2010","2010","Kcal/personne/jour","3","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","204","Bénin","664","Disponibilité alimentaire (Kcal/personne/jour)","S2949","Oeufs","2020","2020","Kcal/personne/jour","3","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","204","Bénin","664","Disponibilité alimentaire (Kcal/personne/jour)","S2948","Lait - Excl Beurre","2010","2010","Kcal/personne/jour","32","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","204","Bénin","664","Disponibilité alimentaire (Kcal/personne/jour)","S2948","Lait - Excl Beurre","2020","2020","Kcal/personne/jour","22","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","204","Bénin","664","Disponibilité alimentaire (Kcal/personne/jour)","S2960","Poisson & Fruits de Mer","2010","2010","Kcal/personne/jour","24","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","204","Bénin","664","Disponibilité alimentaire (Kcal/personne/jour)","S2960","Poisson & Fruits de Mer","2020","2020","Kcal/personne/jour","27","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","204","Bénin","664","Disponibilité alimentaire (Kcal/personne/jour)","S2961","Produits Aquatiques, Aut","2010","2010","Kcal/personne/jour","0","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","204","Bénin","664","Disponibilité alimentaire (Kcal/personne/jour)","S2961","Produits Aquatiques, Aut","2020","2020","Kcal/personne/jour","0","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","204","Bénin","664","Disponibilité alimentaire (Kcal/personne/jour)","S2928","Miscellanees","2010","2010","Kcal/personne/jour","3","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","204","Bénin","664","Disponibilité alimentaire (Kcal/personne/jour)","S2928","Miscellanees","2020","2020","Kcal/personne/jour","2","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","014","Afrique orientale","664","Disponibilité alimentaire (Kcal/personne/jour)","S2901","Total General","2010","2010","Kcal/personne/jour","2232","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","014","Afrique orientale","664","Disponibilité alimentaire (Kcal/personne/jour)","S2901","Total General","2020","2020","Kcal/personne/jour","2255","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","014","Afrique orientale","664","Disponibilité alimentaire (Kcal/personne/jour)","S2903","Produits Vegetaux","2010","2010","Kcal/personne/jour","2060","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","014","Afrique orientale","664","Disponibilité alimentaire (Kcal/personne/jour)","S2903","Produits Vegetaux","2020","2020","Kcal/personne/jour","2091","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","014","Afrique orientale","664","Disponibilité alimentaire (Kcal/personne/jour)","S2941","Produits Animaux","2010","2010","Kcal/personne/jour","172","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","014","Afrique orientale","664","Disponibilité alimentaire (Kcal/personne/jour)","S2941","Produits Animaux","2020","2020","Kcal/personne/jour","165","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","014","Afrique orientale","664","Disponibilité alimentaire (Kcal/personne/jour)","S2905","Cèrèales - Excl Bière","2010","2010","Kcal/personne/jour","1179","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","014","Afrique orientale","664","Disponibilité alimentaire (Kcal/personne/jour)","S2905","Cèrèales - Excl Bière","2020","2020","Kcal/personne/jour","1178","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","014","Afrique orientale","664","Disponibilité alimentaire (Kcal/personne/jour)","S2907","Racines Amyl","2010","2010","Kcal/personne/jour","272","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","014","Afrique orientale","664","Disponibilité alimentaire (Kcal/personne/jour)","S2907","Racines Amyl","2020","2020","Kcal/personne/jour","261","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","014","Afrique orientale","664","Disponibilité alimentaire (Kcal/personne/jour)","S2908","Cultures Sucrieres","2010","2010","Kcal/personne/jour","3","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","014","Afrique orientale","664","Disponibilité alimentaire (Kcal/personne/jour)","S2908","Cultures Sucrieres","2020","2020","Kcal/personne/jour","5","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","014","Afrique orientale","664","Disponibilité alimentaire (Kcal/personne/jour)","S2909","Sucre & Edulcorants","2010","2010","Kcal/personne/jour","100","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","014","Afrique orientale","664","Disponibilité alimentaire (Kcal/personne/jour)","S2909","Sucre & Edulcorants","2020","2020","Kcal/personne/jour","102","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","014","Afrique orientale","664","Disponibilité alimentaire (Kcal/personne/jour)","S2911","Légumineuses Sèches","2010","2010","Kcal/personne/jour","159","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","014","Afrique orientale","664","Disponibilité alimentaire (Kcal/personne/jour)","S2911","Légumineuses Sèches","2020","2020","Kcal/personne/jour","155","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","014","Afrique orientale","664","Disponibilité alimentaire (Kcal/personne/jour)","S2912","Fruit Coque","2010","2010","Kcal/personne/jour","4","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","014","Afrique orientale","664","Disponibilité alimentaire (Kcal/personne/jour)","S2912","Fruit Coque","2020","2020","Kcal/personne/jour","3","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","014","Afrique orientale","664","Disponibilité alimentaire (Kcal/personne/jour)","S2913","Cultures Oleágineuses","2010","2010","Kcal/personne/jour","45","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","014","Afrique orientale","664","Disponibilité alimentaire (Kcal/personne/jour)","S2913","Cultures Oleágineuses","2020","2020","Kcal/personne/jour","42","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","014","Afrique orientale","664","Disponibilité alimentaire (Kcal/personne/jour)","S2914","Huiles végétales","2010","2010","Kcal/personne/jour","135","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","014","Afrique orientale","664","Disponibilité alimentaire (Kcal/personne/jour)","S2914","Huiles végétales","2020","2020","Kcal/personne/jour","155","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","014","Afrique orientale","664","Disponibilité alimentaire (Kcal/personne/jour)","S2918","Légumes","2010","2010","Kcal/personne/jour","21","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","014","Afrique orientale","664","Disponibilité alimentaire (Kcal/personne/jour)","S2918","Légumes","2020","2020","Kcal/personne/jour","23","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","014","Afrique orientale","664","Disponibilité alimentaire (Kcal/personne/jour)","S2919","Fruits - Excl Vin","2010","2010","Kcal/personne/jour","95","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","014","Afrique orientale","664","Disponibilité alimentaire (Kcal/personne/jour)","S2919","Fruits - Excl Vin","2020","2020","Kcal/personne/jour","116","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","014","Afrique orientale","664","Disponibilité alimentaire (Kcal/personne/jour)","S2922","Stimulants","2010","2010","Kcal/personne/jour","2","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","014","Afrique orientale","664","Disponibilité alimentaire (Kcal/personne/jour)","S2922","Stimulants","2020","2020","Kcal/personne/jour","2","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","014","Afrique orientale","664","Disponibilité alimentaire (Kcal/personne/jour)","S2923","Épices","2010","2010","Kcal/personne/jour","11","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","014","Afrique orientale","664","Disponibilité alimentaire (Kcal/personne/jour)","S2923","Épices","2020","2020","Kcal/personne/jour","13","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","014","Afrique orientale","664","Disponibilité alimentaire (Kcal/personne/jour)","S2924","Boissons Alcooliques","2010","2010","Kcal/personne/jour","34","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","014","Afrique orientale","664","Disponibilité alimentaire (Kcal/personne/jour)","S2924","Boissons Alcooliques","2020","2020","Kcal/personne/jour","35","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","014","Afrique orientale","664","Disponibilité alimentaire (Kcal/personne/jour)","S2943","Viande","2010","2010","Kcal/personne/jour","71","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","014","Afrique orientale","664","Disponibilité alimentaire (Kcal/personne/jour)","S2943","Viande","2020","2020","Kcal/personne/jour","64","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","014","Afrique orientale","664","Disponibilité alimentaire (Kcal/personne/jour)","S2945","Abats","2010","2010","Kcal/personne/jour","4","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","014","Afrique orientale","664","Disponibilité alimentaire (Kcal/personne/jour)","S2945","Abats","2020","2020","Kcal/personne/jour","4","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","014","Afrique orientale","664","Disponibilité alimentaire (Kcal/personne/jour)","S2946","Graisses animales","2010","2010","Kcal/personne/jour","14","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","014","Afrique orientale","664","Disponibilité alimentaire (Kcal/personne/jour)","S2946","Graisses animales","2020","2020","Kcal/personne/jour","12","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","014","Afrique orientale","664","Disponibilité alimentaire (Kcal/personne/jour)","S2949","Oeufs","2010","2010","Kcal/personne/jour","4","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","014","Afrique orientale","664","Disponibilité alimentaire (Kcal/personne/jour)","S2949","Oeufs","2020","2020","Kcal/personne/jour","3","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","014","Afrique orientale","664","Disponibilité alimentaire (Kcal/personne/jour)","S2948","Lait - Excl Beurre","2010","2010","Kcal/personne/jour","70","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","014","Afrique orientale","664","Disponibilité alimentaire (Kcal/personne/jour)","S2948","Lait - Excl Beurre","2020","2020","Kcal/personne/jour","71","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","014","Afrique orientale","664","Disponibilité alimentaire (Kcal/personne/jour)","S2960","Poisson & Fruits de Mer","2010","2010","Kcal/personne/jour","9","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","014","Afrique orientale","664","Disponibilité alimentaire (Kcal/personne/jour)","S2960","Poisson & Fruits de Mer","2020","2020","Kcal/personne/jour","11","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","014","Afrique orientale","664","Disponibilité alimentaire (Kcal/personne/jour)","S2961","Produits Aquatiques, Aut","2010","2010","Kcal/personne/jour","0","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","014","Afrique orientale","664","Disponibilité alimentaire (Kcal/personne/jour)","S2961","Produits Aquatiques, Aut","2020","2020","Kcal/personne/jour","0","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","014","Afrique orientale","664","Disponibilité alimentaire (Kcal/personne/jour)","S2928","Miscellanees","2010","2010","Kcal/personne/jour","1","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","014","Afrique orientale","664","Disponibilité alimentaire (Kcal/personne/jour)","S2928","Miscellanees","2020","2020","Kcal/personne/jour","1","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","017","Afrique centrale","664","Disponibilité alimentaire (Kcal/personne/jour)","S2901","Total General","2010","2010","Kcal/personne/jour","2296","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","017","Afrique centrale","664","Disponibilité alimentaire (Kcal/personne/jour)","S2901","Total General","2020","2020","Kcal/personne/jour","2258","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","017","Afrique centrale","664","Disponibilité alimentaire (Kcal/personne/jour)","S2903","Produits Vegetaux","2010","2010","Kcal/personne/jour","2181","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","017","Afrique centrale","664","Disponibilité alimentaire (Kcal/personne/jour)","S2903","Produits Vegetaux","2020","2020","Kcal/personne/jour","2145","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","017","Afrique centrale","664","Disponibilité alimentaire (Kcal/personne/jour)","S2941","Produits Animaux","2010","2010","Kcal/personne/jour","114","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","017","Afrique centrale","664","Disponibilité alimentaire (Kcal/personne/jour)","S2941","Produits Animaux","2020","2020","Kcal/personne/jour","113","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","017","Afrique centrale","664","Disponibilité alimentaire (Kcal/personne/jour)","S2905","Cèrèales - Excl Bière","2010","2010","Kcal/personne/jour","622","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","017","Afrique centrale","664","Disponibilité alimentaire (Kcal/personne/jour)","S2905","Cèrèales - Excl Bière","2020","2020","Kcal/personne/jour","633","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","017","Afrique centrale","664","Disponibilité alimentaire (Kcal/personne/jour)","S2907","Racines Amyl","2010","2010","Kcal/personne/jour","964","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","017","Afrique centrale","664","Disponibilité alimentaire (Kcal/personne/jour)","S2907","Racines Amyl","2020","2020","Kcal/personne/jour","919","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","017","Afrique centrale","664","Disponibilité alimentaire (Kcal/personne/jour)","S2908","Cultures Sucrieres","2010","2010","Kcal/personne/jour","4","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","017","Afrique centrale","664","Disponibilité alimentaire (Kcal/personne/jour)","S2908","Cultures Sucrieres","2020","2020","Kcal/personne/jour","4","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","017","Afrique centrale","664","Disponibilité alimentaire (Kcal/personne/jour)","S2909","Sucre & Edulcorants","2010","2010","Kcal/personne/jour","71","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","017","Afrique centrale","664","Disponibilité alimentaire (Kcal/personne/jour)","S2909","Sucre & Edulcorants","2020","2020","Kcal/personne/jour","72","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","017","Afrique centrale","664","Disponibilité alimentaire (Kcal/personne/jour)","S2911","Légumineuses Sèches","2010","2010","Kcal/personne/jour","70","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","017","Afrique centrale","664","Disponibilité alimentaire (Kcal/personne/jour)","S2911","Légumineuses Sèches","2020","2020","Kcal/personne/jour","70","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","017","Afrique centrale","664","Disponibilité alimentaire (Kcal/personne/jour)","S2912","Fruit Coque","2010","2010","Kcal/personne/jour","3","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","017","Afrique centrale","664","Disponibilité alimentaire (Kcal/personne/jour)","S2912","Fruit Coque","2020","2020","Kcal/personne/jour","2","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","017","Afrique centrale","664","Disponibilité alimentaire (Kcal/personne/jour)","S2913","Cultures Oleágineuses","2010","2010","Kcal/personne/jour","90","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","017","Afrique centrale","664","Disponibilité alimentaire (Kcal/personne/jour)","S2913","Cultures Oleágineuses","2020","2020","Kcal/personne/jour","75","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","017","Afrique centrale","664","Disponibilité alimentaire (Kcal/personne/jour)","S2914","Huiles végétales","2010","2010","Kcal/personne/jour","173","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","017","Afrique centrale","664","Disponibilité alimentaire (Kcal/personne/jour)","S2914","Huiles végétales","2020","2020","Kcal/personne/jour","174","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","017","Afrique centrale","664","Disponibilité alimentaire (Kcal/personne/jour)","S2918","Légumes","2010","2010","Kcal/personne/jour","23","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","017","Afrique centrale","664","Disponibilité alimentaire (Kcal/personne/jour)","S2918","Légumes","2020","2020","Kcal/personne/jour","21","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","017","Afrique centrale","664","Disponibilité alimentaire (Kcal/personne/jour)","S2919","Fruits - Excl Vin","2010","2010","Kcal/personne/jour","109","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","017","Afrique centrale","664","Disponibilité alimentaire (Kcal/personne/jour)","S2919","Fruits - Excl Vin","2020","2020","Kcal/personne/jour","127","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","017","Afrique centrale","664","Disponibilité alimentaire (Kcal/personne/jour)","S2922","Stimulants","2010","2010","Kcal/personne/jour","3","E","Valeur estimée"
